time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.016173699870705605,Empty,0.30804,0.00186,0.48539,0.01204,0.00157,-0.00535,0.99998,0.00602,0.00077,-0.00268,0.9999263440423188,0.012035832176888084,0.0015637243913695733,0.012044027879041297,-0.9999131987998057,-0.005341933955871068,0.0014992940376227512,0.005360374030774471,-0.9999845091338357
0.067,0.016173699870705605,Empty,0.30804,0.00187,0.48539,0.01204,0.00157,-0.00535,0.99998,0.00602,0.00077,-0.00268,0.9999262586669664,0.012041978502826733,0.0015709812285409398,0.012050219843279752,-0.9999131000052488,-0.005346460476053465,0.0015064627481613455,0.005364996890104534,-0.9999844735686436
0.133,0.016173699870705605,Empty,0.30804,0.00186,0.48539,0.01204,0.00157,-0.00533,0.99998,0.00602,0.00077,-0.00267,0.9999263545231378,0.012034978117855033,0.0015635957824590122,0.012043169506774365,-0.9999132220891498,-0.005339509296313597,0.0014991992193421732,0.005357946714653493,-0.9999845222845718
0.2,0.016173699870705605,Empty,0.30804,0.00186,0.48538,0.01204,0.00155,-0.00535,0.99998,0.00602,0.00076,-0.00268,0.9999262650447661,0.012042975003682899,0.0015592391366057844,0.01205115123856454,-0.9999130962800182,-0.005345057673431387,0.0014947332369698672,0.0053634541824954364,-0.9999844994457575
0.267,0.016173699870705605,Empty,0.30804,0.00187,0.48538,0.01204,0.00155,-0.00535,0.99998,0.00602,0.00076,-0.00268,0.9999262607251799,0.012043486680715088,0.001558056716316806,0.01205165481670789,-0.99991309647426,-0.005343885799339306,0.0014935622982472346,0.005362268906805645,-0.999984507551908
0.333,0.016173699870705605,Empty,0.30804,0.00186,0.48539,0.01204,0.00157,-0.00535,0.99998,0.00602,0.00077,-0.00268,0.9999262413594847,0.01204425492362099,0.0015645331663675722,0.012052454067969787,-0.999913100056671,-0.005341412359807317,0.0015000638764104764,0.005359874848618688,-0.9999845106550269
0.4,0.016173699870705605,Empty,0.30804,0.00187,0.48538,0.01204,0.00155,-0.00535,0.99998,0.00602,0.00076,-0.00268,0.9999262516667751,0.012044441019455066,0.0015564922622953797,0.01205259858272617,-0.999913092874684,-0.005342430644095081,0.0014920104012337966,0.005360796425174272,-0.9999845177634752
0.467,0.016173699870705605,Empty,0.30804,0.00187,0.48539,0.01204,0.00157,-0.00535,0.99998,0.00602,0.00077,-0.00268,0.9999263353235668,0.012036060351690081,0.00156753870527089,0.012044276013667254,-0.9999131975292359,-0.005341612318944148,0.0015031106707919795,0.00536009869962943,-0.9999845048800716
0.533,0.016173699870705605,Empty,0.30804,0.00188,0.48538,0.01208,0.00155,-0.00533,0.99998,0.00604,0.00076,-0.00267,0.9999259792439892,0.012066539658697972,0.0015603376603129668,0.012074701392088327,-0.9999128838516385,-0.005331631438096328,0.001495867387512388,0.0053500773980256185,-0.9999845694072453
0.6,0.016173699870705605,Empty,0.30804,0.00188,0.48538,0.01206,0.00155,-0.00533,0.99998,0.00603,0.00076,-0.00267,0.999926005801567,0.01206449333668913,0.001559141511685408,0.012072643332733057,-0.9999129278328732,-0.005328042384531663,0.0014947256220092337,0.00534647109968204,-0.9999845904023196
