time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.01580728031694889,0.30826,0.00182,0.48609,0.01349,0.00448,-0.00593,0.99997,0.00675,0.00222,-0.00298
0.067,0.01580728031694889,0.30826,0.00182,0.4861,0.01349,0.0045,-0.00595,0.99997,0.00675,0.00223,-0.00299
0.133,0.01580728031694889,0.30826,0.00182,0.48609,0.01349,0.00448,-0.00593,0.99997,0.00675,0.00222,-0.00298
0.2,0.01580728031694889,0.30825,0.00178,0.4861,0.01343,0.00452,-0.00599,0.99997,0.00672,0.00224,-0.00301
0.267,0.01580728031694889,0.30829,0.00181,0.48608,0.01345,0.0045,-0.00601,0.99997,0.00673,0.00223,-0.00302
0.334,0.01580728031694889,0.30852,0.00268,0.48583,0.01456,0.00404,-0.00757,0.99996,0.00729,0.00199,-0.0038
0.4,0.01580728031694889,0.30973,0.00431,0.48507,0.01712,0.00396,-0.00925,0.99995,0.00857,0.00194,-0.00464
0.467,0.01580728031694889,0.31221,0.00692,0.48303,0.01959,0.00174,-0.0105,0.99994,0.0098,0.00082,-0.00526
0.533,0.015806952491402626,0.31548,0.01038,0.47945,0.02321,-0.00485,-0.01092,0.99991,0.01159,-0.00249,-0.00543
0.6,0.015806952491402626,0.31964,0.01443,0.47466,0.02175,-0.01395,-0.01207,0.9999,0.01083,-0.00704,-0.00596
0.667,0.015806952491402626,0.32533,0.0195,0.46902,0.02016,-0.02119,-0.01326,0.99987,0.01001,-0.01066,-0.00652
0.734,0.015806952491402626,0.33224,0.02587,0.46284,0.01623,-0.02595,-0.01589,0.99985,0.00801,-0.01304,-0.00784
0.8,0.015806952491402626,0.34035,0.0343,0.45566,0.01269,-0.02902,-0.01879,0.99983,0.00621,-0.01457,-0.0093
0.867,0.01580728031694889,0.34928,0.04483,0.44755,0.01247,-0.03083,-0.02406,0.99979,0.00605,-0.01549,-0.01193
0.933,0.01580728031694889,0.35822,0.05652,0.43903,0.01739,-0.03109,-0.02496,0.99977,0.0085,-0.01565,-0.01234
1.0,0.01580728031694889,0.36775,0.06865,0.42987,0.01816,-0.02844,-0.0222,0.9998,0.00892,-0.01432,-0.01097
1.067,0.01580728031694889,0.37754,0.08112,0.42035,0.01421,-0.02212,-0.01726,0.99988,0.00701,-0.01112,-0.00855
1.133,0.01580728031694889,0.38712,0.0942,0.40959,0.00842,-0.01605,-0.01297,0.99994,0.00416,-0.00805,-0.00645
1.2,0.01580728031694889,0.39566,0.10835,0.39745,0.0033,-0.01234,-0.00928,0.99997,0.00162,-0.00618,-0.00463
1.267,0.01580728031694889,0.40302,0.12251,0.38411,-6e-05,-0.012,-0.00606,0.99998,-5e-05,-0.006,-0.00303
1.333,0.01580728031694889,0.40962,0.13686,0.36972,-0.00133,-0.01338,-0.00405,0.99998,-0.00068,-0.00669,-0.00203
1.4,0.01580728031694889,0.416,0.15077,0.35513,-0.00493,-0.01421,-0.00371,0.99997,-0.00248,-0.0071,-0.00187
1.467,0.01580728031694889,0.42278,0.16388,0.34092,-0.01036,-0.01265,-0.00595,0.99996,-0.0052,-0.00631,-0.00301
1.533,0.01580728031694889,0.42925,0.17591,0.32713,-0.01543,-0.0106,-0.00968,0.99994,-0.00774,-0.00526,-0.00488
1.6,0.01580728031694889,0.43619,0.1873,0.31339,-0.01941,-0.00635,-0.01584,0.99992,-0.00973,-0.0031,-0.00795
1.667,0.01580728031694889,0.44325,0.1977,0.30007,-0.02144,-0.00155,-0.02333,0.99987,-0.01073,-0.00065,-0.01167
1.733,0.01580728031694889,0.45071,0.20666,0.286,-0.02178,0.00232,-0.03163,0.99982,-0.01087,0.00133,-0.0158
1.8,0.01580728031694889,0.45814,0.21381,0.27153,-0.02252,0.00386,-0.03959,0.99974,-0.01122,0.00215,-0.01977
1.867,0.01580728031694889,0.46492,0.21894,0.2564,-0.02567,0.00034,-0.04543,0.99966,-0.01283,0.00046,-0.02271
