,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.01635822281241417,0.30825,0.00164,0.48565,0.01383,0.00362,-0.006,0.99997,0.00692,0.00179,-0.00301
1,0.067,0.01635822281241417,0.30825,0.00164,0.48565,0.01383,0.00362,-0.006,0.99997,0.00692,0.00179,-0.00301
2,0.133,0.01635822281241417,0.30825,0.00164,0.48565,0.01383,0.00364,-0.00599,0.99997,0.00692,0.0018,-0.00301
3,0.2,0.01635822281241417,0.30825,0.00164,0.48565,0.01383,0.00364,-0.00599,0.99997,0.00692,0.0018,-0.00301
4,0.267,0.01635822281241417,0.30825,0.00164,0.48565,0.01383,0.00364,-0.00599,0.99997,0.00692,0.0018,-0.00301
5,0.333,0.01635822281241417,0.30825,0.00164,0.48565,0.01383,0.00362,-0.00602,0.99997,0.00692,0.00179,-0.00302
6,0.4,0.01635822281241417,0.30826,0.00164,0.48564,0.01383,0.00364,-0.00599,0.99997,0.00692,0.0018,-0.00301
7,0.467,0.01635822281241417,0.30876,0.00166,0.48544,0.01385,0.00412,-0.00599,0.99997,0.00693,0.00204,-0.00301
8,0.533,0.01635822281241417,0.312,0.00167,0.48454,0.01379,0.00902,-0.00592,0.99996,0.00691,0.00449,-0.00299
9,0.6,0.01635822281241417,0.31758,0.00171,0.48281,0.01381,0.01682,-0.0058,0.99994,0.00693,0.00839,-0.00296
10,0.666,0.01635822281241417,0.32555,0.00173,0.48029,0.01376,0.02818,-0.00567,0.99987,0.00692,0.01407,-0.00293
11,0.733,0.01635822281241417,0.33518,0.00177,0.47662,0.01383,0.03978,-0.00551,0.99977,0.00697,0.01987,-0.00289
12,0.8,0.01635822281241417,0.34561,0.00178,0.47194,0.01467,0.05037,-0.00533,0.99965,0.0074,0.02516,-0.00285
13,0.867,0.01635822281241417,0.35733,0.00211,0.46578,0.01492,0.06001,-0.00568,0.99952,0.00754,0.02998,-0.00306
