time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.016297481954097748,Empty,0.3073,3e-05,0.48531,0.00582,5e-05,0.00358,0.99999,0.00291,3e-05,0.00179,0.999983046492527,0.005822726319482885,5.085010022298016e-05,0.005822506442931585,-0.9999766142269588,0.003587397094014096,7.173734253168206e-05,-0.0035870402000144825,-0.9999935639774676
0.067,0.016297481954097748,Empty,0.3073,3e-05,0.48531,0.00584,5e-05,0.00358,0.99999,0.00292,3e-05,0.00179,0.9999830016740214,0.005830435956491464,4.878084865264946e-05,0.005830223341870999,-0.9999765635511824,0.003588989293961703,6.970507762990465e-05,-0.0035886438839092994,-0.9999935583673911
0.133,0.016297481954097748,Empty,0.3073,3e-05,0.48531,0.00582,5e-05,0.00358,0.99999,0.00291,3e-05,0.00179,0.9999830235888648,0.0058266518047928595,5.160249422793265e-05,0.00582642929605065,-0.999976595925735,0.0035861291718725288,7.249641253086927e-05,-0.0035857676339852034,-0.9999935684866905
0.2,0.016297481954097748,Empty,0.3073,3e-05,0.48531,0.00582,5e-05,0.0036,0.99999,0.00291,3e-05,0.0018,0.999983020279166,0.005827241991383125,4.903194139113578e-05,0.00582702836560689,-0.9999765754693768,0.0035908568565591534,6.995558470048837e-05,-0.0035905101742988665,-0.9999935516506617
0.267,0.016297481954097748,Empty,0.3073,3e-05,0.48531,0.00582,5e-05,0.00358,0.99999,0.00291,3e-05,0.00179,0.9999830445312519,0.005823147019447528,4.010983202714746e-05,0.005822966225262127,-0.9999766443957415,0.003578229642102356,6.09454525131409e-05,-0.0035779354133442906,-0.9999935973114177
0.333,0.016297481954097748,Empty,0.30731,4e-05,0.4853,0.00596,3e-05,0.00362,0.99999,0.00298,2e-05,0.00181,0.9999822639332892,0.0059557629312615434,2.6584968917997553e-05,0.005955627711932421,-0.9999757156058146,0.0036192122341262775,4.8139493382488884e-05,-0.0036189897133590424,-0.9999934502765724
0.4,0.016297481954097748,Empty,0.30727,0.00023,0.48495,0.00728,-0.00026,0.00424,0.99999,0.00364,-0.00012,0.00212,0.999973491820844,0.007276747402021555,-0.00025417095706871526,0.007277760644813169,-0.9999645132163373,0.004243407594237509,-0.00022328373217178531,-0.004245144904617179,-0.9999909644037358
0.467,0.016297481954097748,Empty,0.30713,0.00109,0.48426,0.0088,-0.00139,0.00605,0.99999,0.0044,-0.00068,0.00303,0.9999603335018297,0.008799620938781949,-0.0013777134111481772,0.00880780319963903,-0.999942907945407,0.006050078716850871,-0.0013243963553008036,-0.006061973360005416,-0.9999807490413384
0.533,0.016297481954097748,Empty,0.30716,0.00276,0.48353,0.01175,-0.00191,0.00903,0.99997,0.00588,-0.00093,0.00452,0.9999291902355092,0.011744388816067763,-0.001919334857479311,0.011761267589132207,-0.9998900321662489,0.009033059242239105,-0.0018130360324434918,-0.009054993424293499,-0.9999573590880918
0.6,0.016297481954097748,Empty,0.30729,0.00545,0.48211,0.01486,-0.00268,0.01348,0.99995,0.00744,-0.00129,0.00675,0.9998859438372905,0.014864249565912702,-0.0026745843514614656,0.014898993261317106,-0.9997981804298972,0.01347658743399101,-0.0024737252090817597,-0.013514898960371115,-0.9999056096400707
0.666,0.016297481954097748,Empty,0.3079,0.0085,0.48075,0.02225,-0.00308,0.01787,0.9999,0.01114,-0.00144,0.00895,0.9997476908320377,0.02224929712731155,-0.003086009291800208,0.022300960995849828,-0.9995917335293842,0.01786150605022507,-0.00268734342242548,-0.017925820401344245,-0.9998357080782165
0.733,0.016297481954097748,Empty,0.30939,0.01217,0.47956,0.03124,-0.00166,0.02282,0.99981,0.01563,-0.00065,0.01142,0.9995103678388864,0.031245041530738205,-0.0016649211141751656,0.031274922442992514,-0.9992503024682196,0.022819120126694334,-0.0009506885708718068,-0.022860017430311512,-0.9997382236337305
0.8,0.016297481954097748,Empty,0.3111,0.01501,0.47828,0.03919,-0.004,0.02651,0.99972,0.01962,-0.00174,0.01329,0.9992238689961337,0.03918788599952744,-0.003996150558355281,0.03928023871007963,-0.99887691109501,0.02649489249215005,-0.002953383699448543,-0.02663129873249641,-0.9996409612718682
0.867,0.016297481954097748,Empty,0.31343,0.01687,0.47686,0.04737,-0.00684,0.02849,0.99961,0.02373,-0.00308,0.01432,0.9988550776772367,0.04734674227820468,-0.006842499107952621,0.047523323853401744,-0.9984639293837171,0.02848359895715292,-0.0054833829271509656,-0.028776165749948103,-0.9995708403091828
0.933,0.016297481954097748,Empty,0.31664,0.01799,0.47517,0.06076,-0.00971,0.02846,0.99942,0.03044,-0.00442,0.01437,0.9981074014343897,0.06072396884222536,-0.009706431369892524,0.060977991814719024,-0.9977332343166427,0.028461863155720836,-0.007956111872895634,-0.02899987496696115,-0.999547751503532
1.0,0.016297481954097748,Empty,0.32018,0.01871,0.47371,0.07568,-0.01182,0.02789,0.99917,0.03791,-0.00538,0.01416,0.9970673985574098,0.07560974224683925,-0.011822419859137978,0.07591448869326967,-0.9967239894282864,0.027897657690210752,-0.009674354779448762,-0.028713337937747174,-0.9995408701419237
1.067,0.016297481954097748,Empty,0.32394,0.01894,0.47277,0.09255,-0.01414,0.0281,0.9988,0.04635,-0.00641,0.01436,0.99562134219472,0.09240328941107767,-0.014134180994906884,0.09277149712701604,-0.9952909166523969,0.028096984714444592,-0.011471368148404278,-0.02928520676458159,-0.9995052698097994
1.133,0.016297481954097748,Empty,0.32801,0.01966,0.47255,0.11117,-0.0171,0.0287,0.99831,0.05567,-0.00774,0.0148,0.9936825533113536,0.11091751376124731,-0.017096443655108297,0.11137558320363278,-0.9933641779623495,0.028689534803410983,-0.013800822826175141,-0.030412416579564106,-0.9994421555083174
1.2,0.016297481954097748,Empty,0.33185,0.02031,0.47204,0.13056,-0.02007,0.03106,0.99769,0.06538,-0.009,0.01615,0.9912885698369189,0.1301697544000816,-0.020070036125991415,0.1307511219183886,-0.9909289774657932,0.03104683133075259,-0.015846621966805356,-0.033400548768245754,-0.9993164103096782
1.267,0.016297481954097748,Empty,0.33585,0.02128,0.47163,0.15193,-0.02303,0.03006,0.99692,0.07605,-0.01034,0.01586,0.9882186814471774,0.15130723431731125,-0.023020827136498744,0.15196311807824742,-0.987928966233177,0.03005941485429151,-0.018194735027994225,-0.03320359198478433,-0.9992829794890781
1.333,0.016297481954097748,Empty,0.34067,0.02204,0.47101,0.17814,-0.02423,0.0285,0.99585,0.08911,-0.0108,0.01527,0.9838850739433853,0.17715329378060957,-0.0242254365099892,0.17781284782428874,-0.9836517275090984,0.028493334606223938,-0.018781704396427252,-0.03234176048156595,-0.9993003843234118
1.4,0.016297481954097748,Empty,0.34525,0.02235,0.46951,0.20526,-0.02531,0.02478,0.99457,0.10259,-0.01132,0.01362,0.9786949391050555,0.20375269872726026,-0.02531904286323241,0.20436980414941497,-0.9785801120904707,0.02477796143616154,-0.019728135291547617,-0.02942451329012099,-0.9993723023456063
1.467,0.016297481954097748,Empty,0.34933,0.0221,0.46739,0.23213,-0.02807,0.02347,0.99309,0.11595,-0.01258,0.01328,0.9727937768953077,0.22996713373758065,-0.028060381934034453,0.23063534028048988,-0.972757302790119,0.023464221320883962,-0.02189994172286398,-0.029297564216406665,-0.9993307987265881
1.533,0.016297481954097748,Empty,0.35358,0.02217,0.46511,0.26067,-0.02759,0.02398,0.99133,0.13011,-0.01212,0.01368,0.9658479485697902,0.2576372554251877,-0.027582328772329447,0.25830033830508736,-0.9657671519284774,0.023973808363184888,-0.020461560913227067,-0.030279578480122245,-0.9993320127225287
1.6,0.016297481954097748,Empty,0.35715,0.02236,0.46256,0.28926,-0.02758,0.02434,0.98937,0.14427,-0.01189,0.01403,0.9580909002614041,0.28513481427060283,-0.027567454129122832,0.28580179813956036,-0.9579798689641255,0.024329053406796166,-0.01947200596976532,-0.031188272641258275,-0.9993238377188688
1.667,0.016297481954097748,Empty,0.36154,0.02189,0.46041,0.32359,-0.02691,0.02692,0.98673,0.16124,-0.01111,0.01545,0.9477588769331189,0.3178500484070571,-0.026915756019564446,0.3185368380121122,-0.9475286665271749,0.026901838942328744,-0.016952699599730715,-0.03407011647859468,-0.999275654231312
1.733,0.016297481954097748,Empty,0.36694,0.02069,0.4585,0.36325,-0.02687,0.02992,0.98332,0.18079,-0.01051,0.01714,0.9344117641015445,0.3551793366486517,-0.026875526533684926,0.3559002248924626,-0.9340452791888922,0.02990729587305241,-0.014480505175358408,-0.037510735033687556,-0.9991913028680238
1.8,0.016297481954097748,Empty,0.37242,0.01927,0.45647,0.40034,-0.03001,0.03173,0.97975,0.19902,-0.01155,0.01853,0.9205169560774237,0.3895488475079558,-0.0300038160769227,0.3904047463268966,-0.9200970317047261,0.03171098064682936,-0.015253446147871774,-0.04090412758359935,-0.999046637913986
1.867,0.016297481954097748,Empty,0.3779,0.0183,0.45402,0.43612,-0.0327,0.03281,0.976,0.21654,-0.01241,0.01955,0.90591511329903,0.42219627682747296,-0.03268197254490192,0.4231662925074692,-0.905458738039775,0.032783571997288964,-0.015751075578796733,-0.043529042493927986,-0.998927988434438
1.933,0.016297481954097748,Empty,0.38302,0.01786,0.45152,0.46894,-0.03413,0.03218,0.97231,0.23253,-0.01286,0.01961,0.8915296341591559,0.45167568893300813,-0.0341172015694996,0.45268394166729475,-0.8910912075075261,0.03215134304100414,-0.015879558325175964,-0.04410818438421065,-0.9989005494531104
2.0,0.016297481954097748,Empty,0.38822,0.01753,0.44858,0.50152,-0.03626,0.03055,0.96838,0.24834,-0.01377,0.01929,0.8762726178380443,0.4804501680684107,-0.0362482445133096,0.48151251539751394,-0.8759077412022186,0.030517641088164158,-0.01708791218433879,-0.04419575664091534,-0.9988767383176551
2.067,0.016297481954097748,Empty,0.39367,0.01716,0.44595,0.53404,-0.03826,0.02927,0.96421,0.26405,-0.01459,0.01916,0.8601330956715498,0.5086326378656818,-0.03826091253845099,0.5097511365182331,-0.8598247303287874,0.029244006794513302,-0.018023222487851744,-0.04465728174470467,-0.9988397722549537
2.133,0.016297481954097748,Empty,0.39873,0.01739,0.44297,0.56337,-0.03987,0.0269,0.96024,0.27815,-0.01541,0.01846,0.8447885539084483,0.5336128387815346,-0.03987025799747076,0.5347510758481528,-0.844581890699283,0.026883392309520464,-0.01932837459581125,-0.04403144547180421,-0.9988431537259229
2.2,0.016297481954097748,Empty,0.40315,0.01833,0.44005,0.58883,-0.04417,0.02814,0.95655,0.29038,-0.01705,0.01987,0.8307772354553635,0.5548509397750694,-0.04415449784411696,0.5562060407795875,-0.8305686032297074,0.028118241932046813,-0.021071906639878492,-0.04791899372665804,-0.9986289324823235
2.267,0.016297481954097748,Empty,0.40673,0.02078,0.4373,0.60975,-0.04752,0.03064,0.95339,0.3004,-0.01806,0.02174,0.8188648192349771,0.5720181661739598,-0.047493424663298374,0.5735885498520099,-0.8185714748135254,0.03060908525713303,-0.021367809853533634,-0.052306387646157235,-0.9984024531788137
2.333,0.016297481954097748,Empty,0.4107,0.02472,0.43429,0.6371,-0.04552,0.03264,0.9492,0.31342,-0.0165,0.02262,0.8029949696108188,0.5942457442472802,-0.04550905650215603,0.5957389745494485,-0.8025163443660976,0.032597411370333035,-0.017150888679362177,-0.053287076006019285,-0.9984319378646884
2.4,0.016297481954097748,Empty,0.41589,0.02823,0.4308,0.67249,-0.04011,0.03472,0.94355,0.33016,-0.0132,0.023,0.7816354130824557,0.622445722537751,-0.04009243706580924,0.6236598384190749,-0.7809260141192927,0.03468380623356693,-0.009720440242719045,-0.05211413403493545,-0.9985938263755073
