,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00422,0.99999,0.00265,0.00061,-0.00211
1,0.067,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00422,0.99999,0.00265,0.00061,-0.00211
2,0.133,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00422,0.99999,0.00265,0.00061,-0.00211
3,0.2,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00422,0.99999,0.00265,0.00061,-0.00211
4,0.266,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
5,0.333,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00125,-0.00422,0.99999,0.00265,0.00062,-0.00211
6,0.4,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
7,0.467,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00125,-0.00424,0.99999,0.00265,0.00062,-0.00212
8,0.533,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
9,0.6,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
10,0.667,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
11,0.733,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00123,-0.00422,0.99999,0.00265,0.00061,-0.00211
12,0.8,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
13,0.867,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
14,0.933,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00125,-0.00422,0.99999,0.00265,0.00062,-0.00211
15,1.0,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00123,-0.00422,0.99999,0.00265,0.00061,-0.00211
16,1.067,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
17,1.133,0.01624363474547863,0.30734,0.00142,0.48553,0.0053,0.00123,-0.00422,0.99999,0.00265,0.00061,-0.00211
18,1.2,0.01624363474547863,0.30734,0.00142,0.48552,0.0053,0.00123,-0.00424,0.99999,0.00265,0.00061,-0.00212
19,1.267,0.01624363474547863,0.30743,0.00152,0.48567,0.00556,0.00145,-0.004,0.99999,0.00278,0.00072,-0.002
20,1.333,0.01624363474547863,0.30749,0.00198,0.48597,0.00582,0.00131,-0.00248,0.99999,0.00291,0.00065,-0.00124
21,1.4,0.01624363474547863,0.30728,0.00272,0.48683,0.00554,-0.00258,-0.00095,1.0,0.00277,-0.00129,-0.00047
22,1.467,0.01624363474547863,0.30766,0.00264,0.48967,0.00672,-0.0072,0.00014,0.99999,0.00336,-0.0036,8e-05
23,1.533,0.01624363474547863,0.30849,0.00111,0.49235,0.00981,-0.01095,0.00213,0.99997,0.00491,-0.00547,0.00109
24,1.6,0.01624363474547863,0.30939,-0.00024,0.49433,0.0123,-0.01324,0.0038,0.99996,0.00616,-0.00661,0.00194
25,1.667,0.01624363474547863,0.30993,-0.00138,0.49472,0.01329,-0.01491,0.0069,0.99994,0.00667,-0.00743,0.0035
26,1.733,0.01624363474547863,0.31005,-0.00145,0.49457,0.0133,-0.01691,0.00763,0.99993,0.00668,-0.00843,0.00387
27,1.8,0.01624363474547863,0.31022,-0.00113,0.49418,0.01287,-0.01799,0.00824,0.99993,0.00647,-0.00897,0.00418
28,1.867,0.01624363474547863,0.3104,-0.00094,0.49336,0.01292,-0.01924,0.00862,0.99992,0.0065,-0.00959,0.00437
29,1.933,0.01624363474547863,0.31106,-0.00093,0.49226,0.01292,-0.0199,0.00861,0.99992,0.0065,-0.00992,0.00437
30,2.0,0.01624363474547863,0.31236,-0.00145,0.4913,0.01412,-0.02253,0.00742,0.9999,0.0071,-0.01124,0.00379
31,2.067,0.01624363474547863,0.31464,-0.00237,0.49071,0.01403,-0.02576,0.00554,0.99989,0.00705,-0.01286,0.00286
32,2.133,0.01624363474547863,0.31702,-0.00279,0.48867,0.0133,-0.02809,0.00469,0.99988,0.00668,-0.01403,0.00244
33,2.2,0.01624363474547863,0.31891,-0.0028,0.48668,0.01331,-0.02893,0.00463,0.99987,0.00669,-0.01445,0.00241
34,2.267,0.01624363474547863,0.32088,-0.00276,0.48435,0.01308,-0.02766,0.00322,0.99988,0.00656,-0.01382,0.0017
35,2.333,0.01624363474547863,0.32306,-0.00241,0.48143,0.01188,-0.02524,0.00047,0.9999,0.00594,-0.01262,0.00031
36,2.4,0.01624363474547863,0.32477,-0.00123,0.47841,0.00989,-0.02758,-0.0035,0.99989,0.00492,-0.0138,-0.00168
37,2.467,0.01624363474547863,0.32724,-6e-05,0.47561,0.01023,-0.02664,-0.00782,0.99989,0.00506,-0.01334,-0.00384
38,2.533,0.01624363474547863,0.32975,0.00049,0.47282,0.00963,-0.0294,-0.01278,0.99986,0.00472,-0.01473,-0.00632
39,2.6,0.01624363474547863,0.3326,0.00086,0.47033,0.00953,-0.02911,-0.0155,0.99985,0.00465,-0.01459,-0.00768
40,2.667,0.01624363474547863,0.33529,0.00062,0.46807,0.00911,-0.03006,-0.01758,0.99984,0.00442,-0.01507,-0.00872
41,2.733,0.01624363474547863,0.33822,0.00079,0.46584,0.00868,-0.02933,-0.02041,0.99983,0.00419,-0.01471,-0.01014
42,2.8,0.01624363474547863,0.34131,0.00061,0.46319,0.00805,-0.02871,-0.02288,0.99982,0.00386,-0.0144,-0.01138
43,2.867,0.01624363474547863,0.34451,-0.00058,0.46011,0.01063,-0.02652,-0.02612,0.99981,0.00514,-0.01333,-0.01299
44,2.933,0.01624363474547863,0.34721,-0.00236,0.45629,0.01196,-0.02837,-0.02925,0.99978,0.00577,-0.01427,-0.01454
45,3.0,0.01624363474547863,0.35035,-0.00449,0.45322,0.01885,-0.02966,-0.03273,0.99971,0.00918,-0.01498,-0.01622
46,3.067,0.01624363474547863,0.35364,-0.00687,0.45009,0.02721,-0.03228,-0.03623,0.99962,0.01331,-0.01638,-0.01789
47,3.133,0.01624363474547863,0.35681,-0.00897,0.44671,0.03447,-0.03458,-0.03793,0.99953,0.0169,-0.01761,-0.01866
48,3.2,0.01624363474547863,0.35973,-0.00993,0.44368,0.04307,-0.03552,-0.03792,0.99944,0.02119,-0.01816,-0.01857
49,3.266,0.01624363474547863,0.36288,-0.00998,0.44041,0.05214,-0.032,-0.03737,0.99937,0.02576,-0.01648,-0.01826
50,3.333,0.01624363474547863,0.36568,-0.00965,0.43694,0.06559,-0.028,-0.03734,0.9992,0.03252,-0.0146,-0.0182
