time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.015762297436594963,0.3073,-0.00055,0.48532,0.00442,0.00063,0.00438,1.0,0.00221,0.00032,0.00219
0.067,0.015762297436594963,0.3073,-0.00055,0.48532,0.00442,0.00063,0.00438,1.0,0.00221,0.00032,0.00219
0.133,0.015762297436594963,0.3073,-0.00055,0.48532,0.00442,0.00065,0.00438,1.0,0.00221,0.00033,0.00219
0.2,0.015762297436594963,0.3073,-0.00055,0.48532,0.00442,0.00063,0.00438,1.0,0.00221,0.00032,0.00219
0.267,0.015762297436594963,0.3073,-0.00054,0.48532,0.00442,0.00063,0.00438,1.0,0.00221,0.00032,0.00219
0.333,0.015762297436594963,0.3073,-0.00055,0.48532,0.00442,0.00063,0.00438,1.0,0.00221,0.00032,0.00219
0.4,0.015762297436594963,0.3073,-0.00055,0.48532,0.00442,0.00063,0.00438,1.0,0.00221,0.00032,0.00219
0.467,0.015762297436594963,0.3073,-0.00055,0.48532,0.00444,0.00063,0.0044,1.0,0.00222,0.00032,0.0022
0.533,0.015762297436594963,0.30731,-0.00053,0.48532,0.00446,0.00061,0.00446,0.99999,0.00223,0.00031,0.00223
0.6,0.015762297436594963,0.30736,-0.00032,0.48537,0.00346,0.00067,0.00474,1.0,0.00173,0.00034,0.00237
0.667,0.015762297436594963,0.30783,0.00035,0.4858,0.00116,-0.0009,0.00328,1.0,0.00058,-0.00045,0.00164
0.733,0.015762297436594963,0.31109,0.00166,0.48846,-0.00316,-0.00168,-0.00174,1.0,-0.00158,-0.00084,-0.00087
0.8,0.015762297436594963,0.31516,0.00336,0.49012,-0.00859,-0.00371,-0.00676,0.99998,-0.0043,-0.00184,-0.00339
0.867,0.015762297436594963,0.31864,0.00452,0.48925,-0.01058,-0.01033,-0.00855,0.99996,-0.00531,-0.00514,-0.0043
0.933,0.015762297436594963,0.32225,0.00624,0.48834,-0.01446,-0.01536,-0.01337,0.99992,-0.00728,-0.00763,-0.00674
1.0,0.015762297436594963,0.32604,0.00819,0.48696,-0.01835,-0.0194,-0.01754,0.99987,-0.00926,-0.00962,-0.00886
1.067,0.015762297436594963,0.3305,0.01139,0.48504,-0.02314,-0.02328,-0.02055,0.99981,-0.01169,-0.01152,-0.01041
1.133,0.015762297436594963,0.33667,0.01602,0.48422,-0.03008,-0.02634,-0.02199,0.99974,-0.01518,-0.013,-0.01119
1.2,0.015762297436594963,0.34428,0.02204,0.4849,-0.03446,-0.03068,-0.02412,0.99966,-0.01741,-0.01513,-0.01232
1.267,0.015762297436594963,0.35221,0.02679,0.48509,-0.03361,-0.03446,-0.02181,0.99965,-0.01699,-0.01704,-0.01119
1.333,0.015762297436594963,0.36043,0.02991,0.48443,-0.02716,-0.03803,-0.01919,0.99968,-0.01376,-0.01888,-0.00985
1.4,0.015762297436594963,0.36976,0.03303,0.48532,-0.02526,-0.0417,-0.0165,0.99967,-0.0128,-0.02074,-0.00851
1.467,0.015762297436594963,0.37842,0.03745,0.48441,-0.03184,-0.04562,-0.0118,0.99959,-0.01605,-0.02271,-0.00626
1.533,0.015762297436594963,0.38735,0.04463,0.48306,-0.03899,-0.05103,-0.00475,0.99948,-0.01955,-0.02546,-0.00287
1.6,0.015762297436594963,0.3988,0.05352,0.48493,-0.05314,-0.0553,0.00115,0.99927,-0.02654,-0.02765,-0.00016
1.667,0.015762297436594963,0.41085,0.06302,0.48762,-0.0614,-0.0612,0.00336,0.99906,-0.03063,-0.03063,0.00074
1.734,0.015762297436594963,0.42291,0.07143,0.4886,-0.07039,-0.06978,0.00322,0.99877,-0.03511,-0.03492,0.00038
1.8,0.015762297436594963,0.43453,0.0786,0.48948,-0.07819,-0.07772,0.0045,0.99848,-0.03897,-0.03891,0.00073
1.867,0.015762297436594963,0.44601,0.08662,0.48898,-0.08749,-0.08192,0.00563,0.99821,-0.04358,-0.04103,0.00102
1.934,0.015762297436594963,0.45582,0.09519,0.48508,-0.09485,-0.08746,0.00692,0.99792,-0.04721,-0.04383,0.00138
2.0,0.015762297436594963,0.46436,0.10367,0.48006,-0.10069,-0.09244,0.00825,0.99767,-0.05008,-0.04635,0.00179
2.067,0.015762297436594963,0.47356,0.11366,0.47519,-0.1098,-0.09562,0.00871,0.99735,-0.0546,-0.04796,0.00172
2.133,0.015762297436594963,0.48553,0.12644,0.47178,-0.12026,-0.0908,0.00627,0.99717,-0.05989,-0.04549,0.0004
2.2,0.015762297436594963,0.4958,0.13876,0.46417,-0.12406,-0.08657,0.00616,0.99715,-0.0618,-0.04338,0.00039
2.267,0.015762297436594963,0.50603,0.15198,0.4549,-0.13017,-0.08423,0.00567,0.997,-0.06486,-0.0422,9e-05
2.333,0.015762297436594963,0.51627,0.16554,0.44686,-0.12898,-0.07614,0.00303,0.9972,-0.06434,-0.03808,-0.00094
2.4,0.015762297436594963,0.5252,0.17641,0.43649,-0.12237,-0.07244,0.00253,0.99748,-0.06106,-0.03622,-0.00095
2.467,0.015762297436594963,0.53363,0.1857,0.42711,-0.11287,-0.06746,-0.00036,0.99784,-0.05638,-0.03366,-0.00208
2.534,0.015762297436594963,0.54318,0.19262,0.41767,-0.10105,-0.05706,-0.00905,0.9983,-0.05061,-0.02826,-0.00596
2.6,0.015762297436594963,0.55209,0.1969,0.4071,-0.0943,-0.0464,-0.01205,0.99859,-0.04726,-0.02289,-0.00711
2.667,0.015762297436594963,0.55946,0.19957,0.39634,-0.0881,-0.03322,-0.01738,0.99885,-0.04417,-0.01621,-0.00941
