sec,nanosec,positions,velocities,efforts
1715235314,602772967,"array('d', [0.0030450285923499373, -0.7833060060683591, -0.0011499579092027104, -2.3546291071930567, 0.006043173296664163, 1.5750048078643053, 0.7751295709784608, 0.01614382117986679, 0.01614382117986679])","array('d', [-0.0007655218686459767, -0.0009176686434974928, 0.0003699544885436828, 0.000592796843020232, -0.0009327549612926112, -6.0250836091266344e-05, -0.0005785724149209468, 0.0, 0.0])","array('d', [-0.24957314133644104, -4.287367343902588, -0.45771339535713196, 22.35135269165039, 0.6332128047943115, 2.1664469242095947, 0.0692889392375946, 0.0, 0.0])"
1715235314,669358445,"array('d', [0.003042927250243503, -0.7833080309283033, -0.0011574211584458182, -2.354625080446249, 0.006044271553629815, 1.5750039425067763, 0.7751322486333111, 0.01614382117986679, 0.01614382117986679])","array('d', [-0.0009997647464376888, 0.00016425259671625238, -0.0011718925578196651, 0.0007444260094849306, -0.0002555008208060069, 0.00032358445592153834, 0.0003071279752661412, 0.0, 0.0])","array('d', [-0.24957314133644104, -4.263563632965088, -0.38233497738838196, 22.29977798461914, 0.6258885860443115, 2.1737711429595947, 0.043654173612594604, 0.0, 0.0])"
1715235314,736003846,"array('d', [0.0030471332250975054, -0.7833219658325031, -0.0011539424749527434, -2.354630034756019, 0.006042307170178605, 1.5750039807714866, 0.7751292561517671, 0.01614382117986679, 0.01614382117986679])","array('d', [-0.0002594457631491005, -0.0005183255264365287, 0.000763125707656706, -0.0006468288716404704, -0.0004113401083867129, -0.00017267559288152538, -0.0011575409442439112, 0.0, 0.0])","array('d', [-0.27734413743019104, -4.112806797027588, -0.42994239926338196, 22.32754898071289, 0.6396214962005615, 2.1737711429595947, 0.0628802478313446, 0.0, 0.0])"
1715235314,802677776,"array('d', [0.003050479391892861, -0.7832928237383628, -0.0011538515395641082, -2.3546271481521046, 0.006041132067464936, 1.5750048079131347, 0.7751314502612798, 0.01614382117986679, 0.01614382117986679])","array('d', [0.0012499204557180669, 0.0002978241247093607, 0.0009370104883728454, 0.0016894621941083115, -0.001022527894131856, -0.0012802995668419396, -0.0014974376026403577, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.390516757965088, -0.42994239926338196, 22.32754898071289, 0.6258885860443115, 2.1664469242095947, 0.050062865018844604, 0.0, 0.0])"
1715235314,869409815,"array('d', [0.0030463415165878738, -0.7833011076332478, -0.0011595536642602957, -2.354628848626372, 0.006039443713675732, 1.575002413293102, 0.775130614048044, 0.01614382117986679, 0.01614382117986679])","array('d', [7.500939140108227e-05, -0.00015190905268837657, -0.00017437963834506, -0.00039311749252787944, -0.0012245764470969823, -0.0007780086357956589, -0.0013448238128125358, 0.0, 0.0])","array('d', [-0.27734413743019104, -4.315138339996338, -0.35456398129463196, 22.35135269165039, 0.6460301876068115, 2.1865885257720947, 0.056471556425094604, 0.0, 0.0])"
1715235314,936105600,"array('d', [0.0030520505138926235, -0.7833375341057734, -0.0011648048934875777, -2.3546250489079217, 0.006051071956348964, 1.5749876453458878, 0.7751499206469963, 0.01614382117986679, 0.01614382117986679])","array('d', [0.0017681915153634933, 0.0006080832275740047, 0.00021421310644916268, 0.000285479265531917, 0.0013966377663023003, 0.0005225102201843059, 0.001833720813606245, 0.0, 0.0])","array('d', [-0.37652626633644104, -3.985853672027588, -0.33076027035713196, 22.29977798461914, 0.5791966915130615, 2.2799723148345947, -0.0625469982624054, 0.0, 0.0])"
1715235315,2697213,"array('d', [0.0030589490845154862, -0.7834054886423383, -0.0011231813252765381, -2.354283031824183, 0.0060526663639928965, 1.5750277013783047, 0.77512643381455, 0.01614382117986679, 0.01614382117986679])","array('d', [-0.0009157005981951379, 0.0024837927365509516, 0.0005062535530183764, 0.004027009555195738, 0.0015334110262388025, -0.0006012745794658287, -0.0013698843826135429, 0.0, 0.0])","array('d', [-0.35272255539894104, -4.211988925933838, -0.5846664905548096, 22.42673110961914, 0.5654637813568115, 2.0410196781158447, 0.0958392322063446, 0.0, 0.0])"
1715235315,69354016,"array('d', [0.0031471562384348542, -0.7826750574123175, -0.0010788702262543208, -2.354347173195472, 0.006294024891159587, 1.5751561996907713, 0.7751389194982337, 0.01614382117986679, 0.01614382117986679])","array('d', [0.004777416986103662, 0.027253351393697865, 0.0014611322871454114, -0.00037193670645410535, 0.01614030706155927, 0.006809612196260067, -1.883183375704211e-05, 0.0, 0.0])","array('d', [-0.6304324865341187, -4.969740390777588, -0.6838486194610596, 22.91470718383789, 0.37594959139823914, 1.7819254398345947, -0.009446412324905396, 0.0, 0.0])"
1715235315,135948383,"array('d', [0.00420095338745034, -0.7784756023332298, -0.000290707200558167, -2.354672311205513, 0.008065806348842417, 1.5776917391632057, 0.7752667218137447, 0.01614382117986679, 0.01614382117986679])","array('d', [0.028585555181667163, 0.0950819388974605, 0.02781534492813066, -0.0011768924630270099, 0.02227689159962906, 0.06651589893311992, 0.006862056070649459, 0.0, 0.0])","array('d', [-0.7058109045028687, -5.243483066558838, -0.9377548694610596, 22.93851089477539, 0.42996570467948914, 1.7681925296783447, -0.3152325451374054, 0.0, 0.0])"
1715235315,202736171,"array('d', [0.008227202041857378, -0.7686408802054194, 0.0039940892753469815, -2.3547191320782765, 0.00988216750397097, 1.5832247203332033, 0.7767236466856892, 0.01614382117986679, 0.01614382117986679])","array('d', [0.09277068965830104, 0.1790543273090009, 0.08697245037504536, -0.006185476563452738, 0.03135328544295301, 0.07905932166924172, -0.0008088747270122784, 0.0, 0.0])","array('d', [-0.8049930334091187, -5.850477695465088, -1.5725204944610596, 23.32333755493164, 0.41714832186698914, 1.9082682132720947, -0.023179322481155396, 0.0, 0.0])"
