sec,nanosec,positions,velocities,efforts
1714889951,250802379,"array('d', [-0.001384311937234205, -0.7833493669393246, 0.0016399864724337741, -2.3551921655706645, 0.005006566834580303, 1.5740478161580018, 0.775011387653013, 0.015687767416238785, 0.015687767416238785])","array('d', [0.00024208264770502543, 0.001409125253478984, 0.0010710317833861624, 0.0003922650518073679, -0.0005604512650884183, -0.0008871643304357044, 0.0011306908880675444, 0.0, 0.0])","array('d', [0.02813681960105896, -4.338942050933838, -0.5092880725860596, 22.50607681274414, 0.6661717891693115, 2.2534220218658447, 0.0033709704875946045, 0.0, 0.0])"
1714889951,317401540,"array('d', [-0.0013821799745471755, -0.7833521386177136, 0.001639800834074501, -2.3551903412395854, 0.005008081591546383, 1.5740478563008575, 0.7750103438691415, 0.01568743772804737, 0.01568743772804737])","array('d', [0.00039126627095905644, 0.00022193859385304684, -0.0019338128943643315, 0.0013982164151811912, -8.364150201448485e-05, -0.00049682049284604, 0.0006691094345850691, 0.0, 0.0])","array('d', [-0.02343788743019104, -4.315138339996338, -0.48151710629463196, 22.45450210571289, 0.6533544063568115, 2.2534220218658447, 0.023512572050094604, 0.0, 0.0])"
1714889951,384037257,"array('d', [-0.0013873386078269143, -0.7833560057960691, 0.0016376787325890344, -2.355190056782483, 0.0050073239348095815, 1.5740502140271528, 0.7750111947195168, 0.01568743772804737, 0.01568743772804737])","array('d', [-0.0009227559643409555, -0.0012702366270485252, -0.00013749071635273807, 0.0011649484416606697, -0.000704104629253906, 0.00032059966472634637, 0.00018762823639623236, 0.0, 0.0])","array('d', [0.05194053053855896, -4.287367343902588, -0.48151710629463196, 22.47830581665039, 0.6597630977630615, 2.2460978031158447, 0.017103880643844604, 0.0, 0.0])"
1714889951,450761332,"array('d', [-0.0013831563444137791, -0.7833483653765894, 0.0016397537949190521, -2.3551900659445417, 0.0050112787890115905, 1.574047818030679, 0.7750073241112237, 0.01568743772804737, 0.01568743772804737])","array('d', [0.0008368907647082098, 0.0013848850572532562, -0.0002849018206483188, 0.0010309608624531645, 0.001794361079903504, -0.0011710834851489044, -0.0014793466482522024, 0.0, 0.0])","array('d', [0.00036582350730895996, -4.362745761871338, -0.5092880725860596, 22.47830581665039, 0.6533544063568115, 2.2534220218658447, 0.050062865018844604, 0.0, 0.0])"
1714889951,517461703,"array('d', [-0.001383549022459058, -0.7833550335158265, 0.001638774268737477, -2.355188537421359, 0.0050064787112215564, 1.5740472145659274, 0.7750237001737744, 0.01568743772804737, 0.01568743772804737])","array('d', [0.0005726510619724139, 0.00014656659142826158, 0.0009433239159541541, 0.0010010187703164662, 0.0007620328134875318, 0.0004442824232575213, 0.0008440577492777616, 0.0, 0.0])","array('d', [0.05194053053855896, -4.362745761871338, -0.6084702014923096, 22.42673110961914, 0.5993382930755615, 2.2195475101470947, 0.0692889392375946, 0.0, 0.0])"
1714889951,584116280,"array('d', [-0.0013609300711241044, -0.7833552074571963, 0.0011579422534136337, -2.355192517723159, 0.0049097824880863505, 1.574043873573811, 0.7750427136134294, 0.01568743772804737, 0.01568743772804737])","array('d', [-0.001873956967477513, 0.0005944449466226149, -0.013712231022887116, -0.0005123377349492648, -0.004917263274215169, -0.0005792089774071758, -0.00018839448967672618, 0.0, 0.0])","array('d', [0.23046836256980896, -4.390516757965088, -0.9893295764923096, 22.42673110961914, 0.38327381014823914, 2.2195475101470947, 0.043654173612594604, 0.0, 0.0])"
1714889951,650651259,"array('d', [-0.0009625975606711229, -0.782581738665419, -0.00139980630005734, -2.3547930310426652, 0.004626040427418103, 1.5740876517755458, 0.7727123835210925, 0.015687767416238785, 0.015687767416238785])","array('d', [0.015727684526408207, 0.02771065304916491, -0.0675018938593642, 0.019019937773092046, -0.003615130044330614, 0.0031221902320491403, -0.07657458524593455, 0.0, 0.0])","array('d', [-0.02343788743019104, -2.954359531402588, -2.0565292835235596, 22.27597427368164, 0.30911609530448914, 2.3065226078033447, -0.1495220959186554, 0.0, 0.0])"
1714889951,717544453,"array('d', [-0.0007003507561218771, -0.7770590906775483, -0.005316332456035546, -2.350271410157909, 0.004486218125915615, 1.5739987601080285, 0.7711339271567169, 0.015687767416238785, 0.015687767416238785])","array('d', [0.006290224638277229, 0.12417445540565361, -0.05027271051589392, 0.1032998258370736, -0.0005903788393564964, -0.0038111276502516512, -0.012119021062676445, 0.0, 0.0])","array('d', [0.32965049147605896, -2.601271152496338, -1.1162827014923096, 23.14480972290039, 0.48398181796073914, 2.1600382328033447, -0.1952984631061554, 0.0, 0.0])"
1714889951,784083081,"array('d', [-0.00013257016986116055, -0.7672499551471993, -0.009536872001752272, -2.3415938216658128, 0.004596996878084289, 1.5729735421802995, 0.7681612562165822, 0.015687767416238785, 0.015687767416238785])","array('d', [0.010075098944246087, 0.15876855275094542, -0.061029492881333185, 0.1345521994710268, 0.001909630871199446, -0.003890277104190642, -0.03966948702224102, 0.0, 0.0])","array('d', [0.5835567712783813, -3.307447910308838, -0.9377548694610596, 22.22439956665039, 0.5920140743255615, 1.9805948734283447, -0.1824810802936554, 0.0, 0.0])"
1714889951,850770080,"array('d', [0.0003346462536353068, -0.7576205178648324, -0.011413347558930977, -2.335579628347939, 0.004611954385286832, 1.5729600643100892, 0.76693767714695, 0.015687767416238785, 0.015687767416238785])","array('d', [0.013035356145034156, 0.15144216256363915, -0.020530247323488005, 0.08037867193928065, -0.0034410713994790835, -0.0007483544023442413, -0.04488056401020475, 0.0, 0.0])","array('d', [0.35742148756980896, -4.969740390777588, -0.5330917835235596, 23.04166030883789, 0.40982410311698914, 2.2003214359283447, -0.2017071545124054, 0.0, 0.0])"
1714889951,917512660,"array('d', [0.001169520979194033, -0.7484664956693736, -0.01169552202426558, -2.330865472182518, 0.004606332945146535, 1.573788809442178, 0.7660514790299405, 0.015687767416238785, 0.015687767416238785])","array('d', [0.014236757508084404, 0.12669199518531682, 0.014808752413378035, 0.06156942920210617, 0.002731461462043873, 0.03933164000421237, 0.002102973208210762, 0.0, 0.0])","array('d', [0.15508994460105896, -5.092726230621338, -1.0171005725860596, 22.50607681274414, 0.47116443514823914, 2.3193399906158447, -0.1421978771686554, 0.0, 0.0])"
1714889951,984013314,"array('d', [0.002511461098655529, -0.7392305528604852, -0.01083027596778572, -2.3264697772690344, 0.004602035603209439, 1.5761657635594333, 0.7660264543206561, 0.015687767416238785, 0.015687767416238785])","array('d', [0.024734620576928257, 0.164471836984402, 0.0060258826378931955, 0.09022440661389644, -0.001507934248176564, 0.029619203735107243, -0.00017734157566649767, 0.0, 0.0])","array('d', [0.30584678053855896, -4.842787265777588, -0.6362411975860596, 23.39871597290039, 0.47116443514823914, 2.6178019046783447, -0.2090313732624054, 0.0, 0.0])"
1714889952,50732909,"array('d', [0.004353198975343284, -0.7248614217564129, -0.011218034624179437, -2.316731230525389, 0.004418086935954836, 1.576636656638012, 0.762159755570603, 0.015687767416238785, 0.015687767416238785])","array('d', [0.02391550072747703, 0.25299725547259894, -0.00253576135552682, 0.2025960174322459, -0.01822571712436793, -0.0016659742319501427, -0.04984164133251799, 0.0, 0.0])","array('d', [0.5319820642471313, -3.985853672027588, 0.07390281558036804, 23.75577163696289, 0.18735095858573914, 2.6974527835845947, -0.1888897716999054, 0.0, 0.0])"
1714889952,117327681,"array('d', [0.0064521260702258346, -0.7064711062808219, -0.011781036792679996, -2.3023188722976267, 0.003509635675162404, 1.5780378401065276, 0.7549428983299212, 0.015687767416238785, 0.015687767416238785])","array('d', [0.0276699699224354, 0.2854174202858348, -0.01278042865561377, 0.2161593048832941, -0.0010616220744471632, 0.01466976617191129, -0.13512624251259514, 0.0, 0.0])","array('d', [0.40502890944480896, -6.124220371246338, -0.48151710629463196, 22.60525894165039, 0.35580798983573914, 2.3989908695220947, -0.1824810802936554, 0.0, 0.0])"
1714889952,183979835,"array('d', [0.008521508495282265, -0.6860455516046005, -0.011941684091213252, -2.2890686370060314, 0.0019526902466365206, 1.5809913476150563, 0.7489032274683078, 0.015687767416238785, 0.015687767416238785])","array('d', [0.043623432627321816, 0.32034415105205055, -5.688153967195453e-05, 0.21229800930346462, -0.06024868343298803, 0.07209494005475982, -0.08976063683110043, 0.0, 0.0])","array('d', [0.5081783533096313, -6.830397129058838, -0.42994239926338196, 22.78775405883789, 0.20108386874198914, 2.3788492679595947, -0.2017071545124054, 0.0, 0.0])"
1714889952,250777983,"array('d', [0.011205304215329795, -0.6670561726450238, -0.012870869679871309, -2.277948426377313, 0.0015043076399982864, 1.5852902668971196, 0.742823080765936, 0.015687767416238785, 0.015687767416238785])","array('d', [0.023579688026206667, 0.29088566644119807, -0.0015179213983405057, 0.18213575665653764, 0.001994462961975651, 0.04166273665727681, -0.024056933050698108, 0.0, 0.0])","array('d', [0.5597530603408813, -7.461195468902588, 0.45476219058036804, 23.32333755493164, 0.25509998202323914, 2.5848429203033447, -0.1357891857624054, 0.0, 0.0])"
1714889952,317493622,"array('d', [0.013802664302867206, -0.6443432035157941, -0.013899735991983112, -2.262652219663502, 0.00013199931594681477, 1.586727405757633, 0.7338596376782403, 0.015687767416238785, 0.015687767416238785])","array('d', [0.023572151684656865, 0.35360092384167685, -0.011277463385509244, 0.2608850414831405, -0.02060178294434181, 0.03645114316026762, -0.14533638552907882, 0.0, 0.0])","array('d', [0.6589351892471313, -8.389540672302246, 0.45476219058036804, 21.68881607055664, 0.13974353671073914, 2.1536295413970947, -0.1421978771686554, 0.0, 0.0])"
1714889952,384140778,"array('d', [0.01533632400472491, -0.6210168129902846, -0.013961834137186947, -2.245956840005582, -0.0012766213941729906, 1.5886380163980385, 0.7284954025630788, 0.015687767416238785, 0.015687767416238785])","array('d', [0.039107121990064796, 0.3989119864113302, -0.011672000938317374, 0.2825529314807112, -0.002191313195629512, -0.006608412168223371, -0.1466331613677785, 0.0, 0.0])","array('d', [-0.12262001633644104, -8.917189598083496, -1.1162827014923096, 23.19638442993164, 0.17361804842948914, 2.4722330570220947, -0.1824810802936554, 0.0, 0.0])"
1714889952,450939530,"array('d', [0.016704465440362536, -0.5969066008364722, -0.013850446601974108, -2.2295794878036856, -0.003044263122073928, 1.5915584576645951, 0.7221466350509543, 0.015687767416238785, 0.015687767416238785])","array('d', [0.01701567702799077, 0.3274805519356506, 0.02305109945593777, 0.2139180414165956, -0.051570524114515244, 0.07441729491610373, -0.05217301268350802, 0.0, 0.0])","array('d', [0.5081783533096313, -9.948683738708496, -0.05305030941963196, 22.93851089477539, 0.10678455978631973, 2.3065226078033447, -0.1824810802936554, 0.0, 0.0])"
1714889952,517502794,"array('d', [0.01887683326343029, -0.5712350520870518, -0.013901177877494241, -2.2134150101975654, -0.006687920424945233, 1.595196724800155, 0.7133948789643987, 0.015687767416238785, 0.015687767416238785])","array('d', [0.025711815327621516, 0.36462017189887785, 0.0019625412182648085, 0.2524133004622933, -0.04312538591992592, 0.03417713906107419, -0.14558646206871134, 0.0, 0.0])","array('d', [0.27807578444480896, -11.460219383239746, -0.38233497738838196, 23.29556655883789, 0.21481677889823914, 2.1270792484283447, -0.2090313732624054, 0.0, 0.0])"
1714889952,584128688,"array('d', [0.0208566482811521, -0.5451004323134809, -0.013965289005972863, -2.195171822543764, -0.012237595381188541, 1.5980856755945765, 0.7037636395254127, 0.015687767416238785, 0.015687767416238785])","array('d', [0.04449277830667947, 0.42172985620270087, -0.0070413567697330945, 0.2855167533435003, -0.13078905100894758, 0.0814503946116746, -0.18176380083472354, 0.0, 0.0])","array('d', [0.38122519850730896, -11.361037254333496, -0.25538185238838196, 22.50607681274414, 0.12692615389823914, 2.2991983890533447, -0.2154400646686554, 0.0, 0.0])"
